Camp section,Size Ft2,Width
A1,31500,100
A2,31500,100
A3,31500,100
A4,31500,100
A5,31500,100
A6,31500,100
A7,31500,100
A8,31500,100
A9,31500,100
A10,31500,100
A11,31500,100
A12,31500,100
A13,31500,100
A14,31500,100
A15,31500,100
A16,31500,100
A17,31500,100
A18,31500,100
A19,31500,100
A20,31500,100
A21,31500,100
A22,31500,100
B1,22000,100
B2,22000,100
B3,22000,100
B4,22000,100
B5,22000,100
B6,22000,100
B7,22000,100
B8,22000,100
B9,22000,100
B10,22000,100
B11,22000,100
B12,22000,100
B13,22000,100
B14,22000,100
B15,22000,100
B16,22000,100
B17,22000,100
B18,22000,100
B19,22000,100
B20,22000,100
B21,22000,100
B22,22000,100
C1,47250,150
C2,47250,150
D1,33000,150
D2,33000,150
E1,10500,70
E2,10500,70
E3,10500,70
E4,10500,70
E5,10500,70
E6,10500,70
E7,10500,70
E8,10500,70
E9,10500,70
E10,10500,70
